COD,POP,OB_Tot,OB_Tot_Tax,Tx_analf
352820,3704,3704,"5,939524838","10,9"
352830,3136,3136,"6,696428571","8,5"
352840,46852,46852,"3,841885085","5,2"
352850,98374,98374,"3,568015939","5,5"
352860,9780,9780,"5,623721881","6,6"
352870,5757,5757,"2,084418968","11,9"
352880,13967,13967,"5,083410897","7,1"
352885,2996,2996,"4,005340454","7,2"
352890,4077,4077,"4,415011038","9,1"
352900,237130,237130,"3,643571037",4
352910,2117,2117,"7,085498347","8,9"
352920,26289,26289,"3,727794895","7,7"
352930,82702,82702,"4,062779618","5,6"
352940,468148,468148,"3,208387091","3,9"
352950,5413,5413,"4,618510992","6,7"
352960,3848,3848,"4,677754678","9,5"
352965,1910,1910,"6,806282723","12,4"
352970,22093,22093,"4,888426198","9,6"
352980,12849,12849,"4,591797027","7,1"
353000,3066,3066,"4,892367906","9,1"
352990,19919,19919,"4,417892464","9,7"
353010,29418,29418,"5,132911823","7,2"
353020,18178,18178,"4,290901089","11,7"
353030,59333,59333,"3,556199754","4,1"
353040,4822,4822,"2,695976773","9,6"
353050,68788,68788,"4,521137408","5,6"
353060,440769,440769,"3,938570998","3,7"
353070,150713,150713,"4,551697597","4,4"
353080,92715,92715,"4,648654479","3,9"
353090,3478,3478,"1,725129385","8,5"
353100,2252,2252,"3,996447602","7,5"
353110,55731,55731,"5,939243868",4
353120,7964,7964,"4,269211452","5,3"
353130,50216,50216,"3,923052414","5,4"
353140,24794,24794,"3,508913447","6,2"
353150,19050,19050,"4,829396325","7,4"
353160,4166,4166,"5,520883341","10,9"
353180,58765,58765,"4,220199098","6,8"
353170,4608,4608,"2,170138889","9,2"
353190,32641,32641,"3,860175852","8,9"
353200,13458,13458,"3,418041314","5,3"
353205,4720,4720,"2,330508475","6,5"
353210,4466,4466,"4,702194357","6,7"
353215,3103,3103,"4,834031582","14,5"
353220,4809,4809,"5,614472863",11
353230,6681,6681,"4,640023949","17,4"
353240,18346,18346,"4,142592391","10,7"
353250,8936,8936,"4,028648165","7,8"
353260,11427,11427,"3,675505382","6,2"
353270,5126,5126,"3,316426063",9
353280,6875,6875,"4,8","5,3"
353282,9647,9647,"4,146366746","11,1"
353284,1911,1911,"6,802721088","11,6"
353286,1255,1255,"3,984063745","10,1"
353290,11013,11013,"2,814855171",7
353300,21307,21307,"3,80156756","7,1"
353310,2308,2308,"6,499133449",11
353320,3883,3883,"4,120525367","7,7"
353330,4041,4041,"2,474634991","11,3"
353340,59371,59371,"3,503393913","3,5"
353325,5712,5712,"1,925770308","10,4"
353350,40680,40680,"4,178957719",8
353360,7386,7386,"3,926347143","5,7"
353370,4287,4287,"5,131793795","9,2"
353380,2522,2522,"4,758128469","6,7"
353390,54406,54406,"3,823107745","4,9"
353400,4339,4339,"2,765614197","7,1"
353410,6487,6487,"5,395406197","6,2"
353420,6935,6935,"2,739726027","6,2"
353430,43687,43687,"3,639526633",5
353440,696850,696850,"4,140058836","3,6"
353450,2602,2602,"4,611837048","10,6"
353460,32754,32754,"4,365878977",6
353470,112711,112711,"4,178829041","4,7"
353480,8503,8503,"5,292249794","13,7"
353475,10177,10177,"5,306082343","9,3"
353490,14130,14130,"4,317055909","10,4"
353500,12786,12786,"4,301579853","6,9"
353510,13058,13058,"3,139837647","8,8"
353520,9340,9340,"4,710920771","9,1"
353530,22168,22168,"5,277878022","4,5"
353540,15690,15690,"4,780114723","8,6"
353550,45455,45455,"3,47596524","6,4"
353560,18180,18180,"3,245324532","8,9"
353570,6411,6411,"3,743565746","8,7"
353580,19993,19993,"3,501225429","8,6"
353590,4061,4061,"3,693671509","9,8"
353600,10980,10980,"3,916211293","7,6"
353610,6360,6360,"5,031446541","7,4"
353620,19570,19570,"4,343382729","6,8"
353625,2153,2153,"5,573618207","9,9"
353630,14529,14529,"3,923188107","6,3"
353640,7274,7274,"4,124278251","10,8"
353650,106776,106776,"3,053120551","3,2"
353657,1832,1832,"6,004366812","9,8"
353660,8930,8930,"3,583426652","9,3"
353670,46251,46251,"3,848565436","6,4"
353680,6075,6075,"4,279835391","12,5"
353690,2508,2508,"3,987240829",10
353700,16676,16676,"3,53801871","7,2"
353710,47361,47361,"3,357192627","4,3"
353715,3085,3085,"2,593192869","7,6"
353720,11240,11240,"4,09252669",10
353730,63047,63047,"3,949434549","5,4"
353740,25660,25660,"4,481683554","7,9"
353750,8560,8560,"4,205607477","6,3"
353760,67548,67548,"5,521999171","5,9"
353770,5922,5922,"5,403579872","11,1"
353780,55149,55149,"4,895827667","7,4"
353790,28963,28963,"3,936056348","7,4"
353800,166475,166475,"3,958552335","3,8"
353810,16877,16877,"4,621674468","7,4"
353820,15021,15021,"3,66154051","6,8"
353830,3685,3685,"4,613297151","12,4"
353850,13742,13742,"5,603260079",5
353860,27140,27140,"4,016212233","6,9"
353870,400949,400949,"4,075331277","2,9"
353880,29741,29741,"4,438317474","7,2"
353890,25259,25259,"5,344629637","6,4"
353900,11362,11362,"4,224608344","7,1"
353910,18604,18604,"3,440120404","5,6"
353920,27295,27295,"3,846858399","6,6"
353930,75930,75930,"3,779797182","3,7"
353940,13503,13503,"3,999111309","5,7"
353950,39349,39349,"3,78662736","7,9"
353960,5167,5167,"3,677182117","9,3"
353970,3521,3521,"3,976143141","9,4"
353980,116530,116530,"4,316485025","3,1"
353990,6004,6004,"4,497001999","8,6"
354000,21851,21851,"4,347627111","4,8"
354010,3432,3432,"6,701631702","9,6"
354020,49047,49047,"2,793239138","10,3"
354025,4580,4580,"2,838427948","12,2"
354030,2577,2577,"4,656577416","12,5"
354040,4186,4186,"4,300047778","13,8"
354050,9779,9779,"3,988137846","7,7"
354060,52785,52785,"3,921568627","5,1"
354070,55787,55787,"3,836019144",5
354075,24143,24143,"3,479269353","4,2"
354080,17201,17201,"4,069530841",7
354085,3971,3971,"3,021908839","12,6"
354090,21110,21110,"3,694931312",8
354100,319146,319146,"5,019646181",4
354105,5204,5204,"2,882398155","8,4"
354110,4108,4108,"2,190847128","12,1"
354120,13190,13190,"3,714935557","7,6"
354130,44006,44006,"4,431213925","6,5"
354140,227072,227072,"3,782941094","3,7"
354150,39448,39448,"4,233421213","7,4"
354160,40027,40027,"4,07225123","5,6"
354165,3753,3753,"3,197442046","10,3"
354170,14006,14006,"4,569470227","8,4"
354180,3351,3351,"2,984183826","13,8"
354190,13228,13228,"3,855458119","7,2"
354200,6587,6587,"5,009867922","9,3"
354210,9050,9050,"4,53038674","3,9"
